Date,Open,High,Low,Close,Volume,Adj Close
2015-04-27,132.309998,134.539993,124.580002,125.150002,90614900,124.629417
2015-04-20,125.57,130.630005,125.169998,130.279999,41488100,129.738068
2015-04-13,128.369995,128.570007,124.459999,124.75,34237200,124.231079
2015-04-06,124.470001,128.119995,124.330002,127.099998,36441500,126.571304
2015-03-30,124.050003,126.489998,123.099998,125.32,40507900,124.798706
2015-03-23,127.120003,128.039993,122.599998,123.25,41865200,122.73732
2015-03-16,123.879997,129.25,122.870003,125.900002,53334500,125.376297
2015-03-09,127.959999,129.570007,121.629997,123.589996,65302800,123.075897
2015-03-02,129.25,130.279999,125.760002,126.599998,49387700,126.07338
2015-02-23,130.020004,133.600006,126.610001,128.460007,73643200,127.925652
2015-02-17,127.489998,129.50,126.919998,129.50,48588700,128.961319
2015-02-09,118.550003,127.480003,118.43,127.080002,60641300,126.551392
2015-02-02,118.050003,120.510002,116.080002,118.93,54084500,118.435287
2015-01-26,113.739998,120.00,109.029999,117.160004,93168500,116.214005
2015-01-20,107.839996,113.75,106.50,112.980003,49684200,112.067757
2015-01-12,112.599998,112.800003,105.199997,105.989998,60845300,105.134193
2015-01-05,108.290001,113.25,104.629997,112.010002,56650500,111.105591
2014-12-29,113.790001,114.769997,107.349998,109.330002,38022100,108.447227
2014-12-22,112.160004,114.519997,111.970001,113.989998,29849100,113.069595
2014-12-15,110.699997,113.239998,106.260002,111.779999,65771300,110.877441
2014-12-08,114.099998,114.849998,109.349998,109.730003,51973600,108.844002
2014-12-01,118.809998,119.25,111.269997,115.00,53263100,114.071442
2014-11-24,116.849998,119.75,116.620003,118.93,45468400,117.969711
2014-11-17,114.269997,117.57,113.300003,116.470001,46682900,115.529579
2014-11-10,109.019997,114.190002,108.400002,114.18,41033300,113.258064
2014-11-03,108.220001,110.300003,107.720001,109.010002,39990500,108.129814
2014-10-27,104.849998,108.040001,104.699997,108.00,44021900,106.665443
2014-10-20,98.32,105.489998,98.220001,105.220001,71706500,103.9198
2014-10-13,101.330002,101.779999,95.18,97.669998,71707900,96.463089
2014-10-06,99.949997,102.379997,98.309998,100.730003,56051600,99.485283
2014-09-29,98.650002,101.540001,98.040001,99.620003,49549800,98.389
2014-09-22,101.800003,102.940002,97.720001,100.75,67764900,99.505035
2014-09-15,102.809998,103.050003,98.889999,100.959999,59470500,99.71244
2014-09-08,99.300003,103.080002,96.139999,101.660004,92704500,100.403793
2014-09-02,103.059998,103.739998,97.790001,98.970001,80790000,97.747032
2014-08-25,101.790001,102.900002,100.699997,102.50,47769200,101.233406
2014-08-18,98.489998,101.470001,97.980003,101.32,49466400,100.067986
2014-08-11,95.269997,98.190002,94.839996,97.980003,35872600,96.769264
2014-08-04,96.370003,96.580002,93.279999,94.739998,44605000,93.569298
2014-07-28,97.82,99.440002,94.809998,96.129997,47365000,94.472206
2014-07-21,94.989998,97.879997,93.720001,97.669998,55278400,95.985649
2014-07-14,95.860001,97.099998,92.57,94.43,49815100,92.801529
2014-07-07,94.139999,96.800003,93.519997,95.220001,46366000,93.577904
2014-06-30,92.099998,94.099998,92.089996,94.029999,34792200,92.408424
2014-06-23,91.32,92.00,89.650002,91.980003,43251400,90.393784
2014-06-16,91.510002,92.75,90.900002,90.910004,47045400,89.342232
2014-06-09,92.699997,95.050003,90.879997,91.279999,58629400,89.705849
