Date,Open,High,Low,Close,Volume,Adj Close
2015-07-20,32.639999,33.209999,32.330002,32.459999,3654300,32.459999
2015-07-13,34.32,35.34,32.470001,32.880001,4518800,32.880001
2015-07-06,32.970001,34.110001,32.91,33.93,3169400,33.93
2015-06-29,33.689999,33.91,32.560001,33.50,3784800,33.50
2015-06-22,35.150002,35.360001,33.799999,33.970001,4030300,33.970001
2015-06-15,33.959999,35.310001,33.75,34.950001,3281000,34.950001
2015-06-08,34.599998,34.77,33.75,34.200001,2892400,34.200001
2015-06-01,34.849998,35.50,34.25,34.529999,3769600,34.298389
2015-05-26,34.27,34.970001,33.779999,34.700001,5003400,34.467251
2015-05-18,34.25,36.599998,33.73,34.330002,9750200,34.099735
2015-05-11,36.52,37.18,34.50,34.59,4792200,34.357986
2015-05-04,35.18,36.740002,35.16,36.610001,3125100,36.364441
2015-04-27,35.549999,36.16,34.490002,35.18,3279000,34.944031
2015-04-20,36.860001,36.990002,35.07,35.389999,5078700,35.152622
2015-04-13,38.450001,38.700001,36.189999,36.459999,3835100,36.215443
2015-04-06,37.830002,38.880001,37.68,38.580002,3609500,38.321228
2015-03-30,38.439999,39.34,36.93,38.220001,5014100,37.963642
2015-03-23,40.860001,41.450001,37.830002,38.48,4620600,38.221897
2015-03-16,40.810001,42.00,40.32,40.790001,4821000,40.516403
2015-03-09,39.669998,41.099998,39.080002,40.529999,4441300,39.542015
2015-03-02,38.200001,40.490002,38.049999,39.709999,7202300,38.742004
2015-02-23,39.349998,39.450001,37.279999,38.099998,4405700,37.171249
2015-02-17,39.060001,39.470001,38.630001,39.279999,3358200,38.322483
2015-02-09,37.049999,39.23,36.57,39.110001,5197600,38.156631
2015-02-02,35.139999,37.549999,34.130001,37.360001,6309200,36.449291
2015-01-26,35.009998,36.34,34.849998,35.200001,5127700,34.341942
2015-01-20,35.119999,35.419998,33.66,35.009998,6426800,34.156574
2015-01-12,38.639999,40.00,33.169998,34.990002,15758000,34.137062
2015-01-05,38.549999,39.27,36.639999,38.060001,6278900,37.132225
2014-12-29,38.869999,39.689999,38.169998,38.790001,3784300,37.844433
2014-12-22,39.110001,40.029999,38.119999,39.139999,4136800,38.185898
2014-12-15,37.099998,39.099998,35.759998,39.009998,5318000,38.059067
2014-12-08,35.43,37.470001,35.25,36.849998,5148200,35.951721
2014-12-01,38.869999,39.009998,35.169998,35.630001,8663900,34.580956
2014-11-24,38.279999,39.790001,38.02,39.41,6789100,38.24966
2014-11-17,35.66,38.82,34.369999,38.029999,11969700,36.910294
2014-11-10,35.060001,35.75,34.57,35.490002,3649400,34.44508
2014-11-03,34.139999,35.639999,33.66,35.18,4063700,34.144207
2014-10-27,32.959999,34.68,31.940001,34.139999,4405100,33.134823
2014-10-20,31.370001,33.50,31.370001,33.110001,4441100,32.135151
2014-10-13,30.48,32.18,28.799999,31.34,5202700,30.417265
2014-10-06,33.369999,33.439999,30.110001,30.49,7828200,29.592291
2014-09-29,32.720001,33.77,31.68,33.369999,4369500,32.387497
2014-09-22,34.419998,34.57,32.919998,32.939999,4839400,31.970156
2014-09-15,33.73,35.529999,33.700001,34.610001,6376900,33.590988
2014-09-08,32.330002,33.759998,31.639999,33.619999,5584600,32.630135
2014-09-02,32.029999,32.50,31.08,32.389999,4705300,31.250509
2014-08-25,31.43,32.75,29.76,31.889999,13179500,30.768099
2014-08-18,29.370001,31.75,29.370001,31.200001,4389400,30.102375
2014-08-11,29.709999,30.049999,28.85,29.190001,2831800,28.163086
2014-08-04,29.129999,30.040001,28.93,29.66,2848300,28.61655
2014-07-28,31.17,31.559999,28.92,29.17,4063000,28.143789
2014-07-21,29.950001,31.50,29.719999,31.030001,3094500,29.938354
2014-07-14,30.10,30.77,29.290001,30.09,4738600,29.031424
2014-07-07,31.92,32.169998,29.74,29.889999,3667200,28.838459
2014-06-30,30.959999,32.240002,30.950001,32.099998,3784500,30.970711
2014-06-23,28.41,31.09,28.110001,31.040001,4668900,29.948004
2014-06-16,28.639999,29.209999,28.26,28.309999,2971700,27.314045
2014-06-09,29.01,29.639999,28.219999,28.639999,3673800,27.632435
2014-06-02,27.559999,29.129999,27.17,29.030001,4260700,27.844358
2014-05-27,27.15,28.25,26.60,27.66,5846200,26.53031
2014-05-19,25.459999,27.50,24.57,27.01,11190400,25.906858
2014-05-12,25.969999,26.75,25.07,25.49,3943700,24.448936
2014-05-05,26.030001,26.040001,25.01,25.92,3101200,24.861376
2014-04-28,24.60,26.48,24.50,26.15,5157800,25.081982
2014-04-21,24.549999,24.76,23.870001,24.379999,5154300,23.384272
2014-04-14,25.75,25.91,24.209999,24.48,6798400,23.480188
2014-04-07,27.58,27.75,25.27,25.51,6300900,24.468121
2014-03-31,26.34,27.940001,26.049999,27.700001,6039800,26.568678
2014-03-24,26.93,27.200001,25.129999,26.07,5422200,25.005249
2014-03-17,25.82,26.959999,25.32,26.959999,5801400,25.858898
2014-03-10,25.780001,26.309999,25.219999,25.700001,5551300,24.489246
2014-03-03,26.40,26.67,24.700001,25.799999,8750900,24.584534
2014-02-24,24.75,28.200001,24.59,26.629999,16587300,25.375433
2014-02-18,24.940001,25.17,24.58,24.639999,5274400,23.479183
2014-02-10,24.51,25.66,24.16,24.780001,8223500,23.612589
2014-02-03,23.540001,24.780001,22.299999,24.549999,9056300,23.393423
2014-01-27,25.040001,25.129999,22.15,23.540001,11059600,22.431007
2014-01-21,24.59,26.34,24.25,25.02,18756600,23.841282
2014-01-13,37.799999,38.43,24.41,24.43,35444100,23.279078
2014-01-06,39.959999,40.450001,36.860001,37.810001,7740600,36.028732
2013-12-30,40.259998,41.00,39.32,40.68,3313600,38.763523
2013-12-23,39.759998,41.240002,39.580002,40.169998,3136800,38.27755
2013-12-16,40.860001,42.209999,39.639999,39.66,5120400,37.791576
2013-12-09,41.07,41.93,40.00,40.509998,3833100,38.601532
2013-12-02,40.59,43.189999,40.32,41.049999,5953500,39.116093
2013-11-25,40.009998,40.599998,39.23,40.549999,4835300,38.481743
2013-11-18,43.939999,44.349998,37.91,39.369999,13367100,37.361931
2013-11-11,43.439999,44.66,42.919998,43.689999,5328900,41.461586
2013-11-04,43.029999,44.259998,40.849998,42.41,5410700,40.246876
2013-10-28,43.009998,43.849998,41.810001,42.93,3584800,40.740353
2013-10-21,43.009998,43.700001,42.310001,42.77,5259400,40.588512
2013-10-14,38.98,43.27,38.799999,42.970001,8256400,40.778313
2013-10-07,37.709999,39.639999,34.880001,39.259998,6538600,37.257538
2013-09-30,37.27,38.450001,36.860001,38.150002,3430000,36.204159
2013-09-23,38.52,39.16,37.450001,37.98,4705600,36.042828
2013-09-16,38.709999,39.279999,38.130001,38.299999,4883400,36.346504
2013-09-09,37.220001,38.560001,37.009998,38.279999,4094500,36.327526
2013-09-03,36.439999,37.98,36.439999,37.02,6700600,35.131794
2013-08-26,35.09,36.650002,34.75,36.00,6141300,34.008904
2013-08-19,30.469999,35.68,30.40,35.080002,12693800,33.139786
2013-08-12,30.459999,32.169998,30.33,30.370001,4987500,28.690289
2013-08-05,31.190001,31.73,30.16,30.629999,4437700,28.935907
2013-07-29,29.50,31.33,28.639999,31.299999,3460800,29.56885
2013-07-22,28.969999,29.940001,28.65,29.65,2156700,28.010109
2013-07-15,29.76,29.92,28.309999,28.969999,3313000,27.367718
2013-07-08,29.940001,30.35,28.030001,29.73,7001100,28.085684
2013-07-01,27.90,29.91,27.719999,29.73,6916100,28.085684
2013-06-24,26.360001,27.959999,25.780001,27.33,3815200,25.818424
2013-06-17,27.02,28.200001,26.27,26.77,4891700,25.289398
2013-06-10,27.379999,28.219999,26.629999,26.870001,5722800,25.383867
2013-06-03,28.23,28.370001,26.82,27.360001,6822600,25.846766
2013-05-28,26.27,28.26,26.219999,27.549999,8867300,25.866411
2013-05-20,26.889999,27.370001,25.17,26.030001,9591100,24.439301
2013-05-13,25.469999,27.15,25.110001,26.90,5194900,25.256134
2013-05-06,26.469999,26.59,24.98,25.370001,4598000,23.819633
2013-04-29,23.58,26.92,23.299999,26.52,9103900,24.899357
2013-04-22,23.139999,24.379999,22.870001,23.50,5185500,22.06391
2013-04-15,23.91,24.27,22.549999,23.25,7188500,21.829187
2013-04-08,25.50,26.290001,23.42,24.09,16997300,22.617853
2013-04-01,22.129999,25.459999,21.469999,25.450001,20438700,23.894745
2013-03-25,22.90,23.459999,21.77,22.15,9682100,20.796408
2013-03-18,21.219999,23.459999,21.219999,22.780001,14853200,21.387909
