Date,Open,High,Low,Close,Volume,Adj Close
2015-07-24,210.300003,210.369995,207.600006,207.940002,109271100,207.940002
2015-07-23,211.529999,211.649994,209.75,210.139999,87846600,210.139999
2015-07-22,210.929993,211.770004,210.889999,211.289993,84385700,211.289993
2015-07-21,212.429993,212.740005,211.389999,211.759995,75035700,211.759995
2015-07-20,212.75,213.179993,212.210007,212.619995,65523100,212.619995
2015-07-17,212.289993,212.550003,211.800003,212.470001,85410300,212.470001
2015-07-16,211.869995,212.300003,211.580002,212.270004,98172600,212.270004
2015-07-15,210.729996,211.279999,210.039993,210.630005,93588200,210.630005
2015-07-14,209.720001,211.050003,209.649994,210.720001,78370300,210.720001
2015-07-13,208.990005,209.899994,208.940002,209.759995,103805000,209.759995
2015-07-10,207.289993,207.979996,204.949997,207.479996,126039800,207.479996
2015-07-09,207.039993,207.350006,204.770004,204.800003,139210600,204.800003
2015-07-08,208.020004,208.020004,204.25,204.529999,159250700,204.529999
2015-07-07,206.960007,208.169998,204.110001,208.009995,170938200,208.009995
2015-07-06,205.770004,207.649994,205.529999,206.669998,113786000,206.669998
2015-07-02,208.070007,208.270004,206.809998,207.320007,102616600,207.320007
2015-07-01,207.729996,208.029999,206.559998,207.570007,129406500,207.570007
2015-06-30,207.259995,207.320007,205.279999,205.889999,165457500,205.889999
2015-06-29,208.050003,209.830002,205.330002,205.470001,188111300,205.470001
2015-06-26,210.289993,210.580002,209.160004,209.899994,104174800,209.899994
2015-06-25,211.100006,211.25,209.770004,209.830002,97107400,209.830002
2015-06-24,211.720001,212.169998,210.470001,210.509995,92307300,210.509995
2015-06-23,212.139999,212.440002,211.570007,212.050003,68476800,212.050003
2015-06-22,211.910004,212.589996,211.639999,211.889999,70696000,211.889999
2015-06-19,211.460007,211.550003,210.360001,210.809998,130478700,210.809998
2015-06-18,211.309998,213.339996,210.630005,212.710007,165867900,211.680005
2015-06-17,210.589996,211.320007,209.360001,210.589996,126708600,209.57026
2015-06-16,208.929993,210.350006,208.720001,210.25,85308200,209.23191
2015-06-15,208.639999,209.449997,207.789993,209.100006,124384200,208.087485
2015-06-12,210.639999,211.479996,209.679993,209.929993,135382400,208.913453
2015-06-11,211.479996,212.089996,211.199997,211.649994,73876400,210.625125
2015-06-10,209.369995,211.410004,209.300003,210.960007,134551300,209.938479
2015-06-09,208.449997,209.100006,207.690002,208.449997,105034700,207.440623
2015-06-08,209.639999,209.820007,208.389999,208.419998,89063300,207.41077
2015-06-05,209.949997,210.580002,208.979996,209.770004,121704700,208.754239
2015-06-04,211.070007,211.860001,209.75,210.130005,151882800,209.112496
2015-06-03,212.00,212.669998,211.330002,211.919998,87820900,210.893822
2015-06-02,211.020004,212.190002,210.270004,211.360001,91531000,210.336536
2015-06-01,211.940002,212.339996,210.619995,211.570007,93338800,210.545526
2015-05-29,212.380005,212.429993,210.820007,211.139999,124919600,210.1176
2015-05-28,212.330002,212.589996,211.630005,212.460007,74974600,211.431216
2015-05-27,211.25,212.979996,210.759995,212.699997,93214000,211.670044
2015-05-26,212.399994,212.910004,210.199997,210.699997,124308600,209.679728
2015-05-22,213.039993,213.539993,212.910004,212.990005,57433500,211.958648
2015-05-21,212.710007,213.75,212.509995,213.50,64764600,212.466173
2015-05-20,213.149994,213.779999,212.50,212.880005,76857500,211.84918
2015-05-19,213.240005,213.570007,212.690002,213.029999,72114600,211.998448
2015-05-18,212.240005,213.399994,212.160004,213.100006,74549700,212.068116
2015-05-15,212.440002,212.610001,211.860001,212.440002,76510100,211.411308
2015-05-14,211.240005,212.320007,210.910004,212.210007,95934000,211.182426
2015-05-13,210.470001,211.220001,209.740005,210.020004,94667900,209.003028
2015-05-12,209.610001,210.630005,208.619995,209.979996,119727600,208.963214
2015-05-11,211.570007,211.889999,210.520004,210.610001,75708100,209.590168
2015-05-08,210.880005,211.860001,210.779999,211.619995,155877300,210.595272
2015-05-07,207.919998,209.380005,207.520004,208.869995,88244900,207.858588
2015-05-06,209.559998,209.929993,206.759995,208.039993,135060200,207.032605
