LASK,LBID,NEWDAY,PCHANGE,PCHANGE0,RETURN,SIGN_VOL,VOLUME,INDICATOR
3.804660487,3.80019719,0,1,1,0,8.5754621,5300,1
3.804660487,3.80019719,0,1,2,0,-4.605170186,100,-1
3.804660487,3.802431329,0,1,2,0.0011152,-5.298317367,200,-1
3.80666249,3.802208139,0,1,1,0.000891266,-4.605170186,100,-1
3.80666249,3.802208139,0,0,0,0,4.605170186,100,1
3.804437795,3.8019849,0,1,2,-0.001225695,-4.605170186,100,-1
3.805995601,3.803546529,0,1,1,0.001559715,-4.605170186,100,-1
3.805995601,3.803546529,0,0,0,0,-4.605170186,100,-1
3.805550761,3.8019849,0,0,0,-0.001002395,-4.605170186,100,-1
3.80376942,3.799749763,0,0,0,-0.002007809,-4.605170186,100,-1
3.80376942,3.799525974,0,0,0,-0.000111663,4.605170186,100,1
3.802208139,3.797958049,0,0,0,-0.001564596,-4.605170186,100,-1
3.80019719,3.797733859,0,1,2,-0.001119069,4.605170186,100,1
3.8019849,3.797958049,0,1,2,0.001007218,5.703782475,300,1
3.802431329,3.798630318,0,1,2,0.000559128,4.605170186,100,1
3.802208139,3.799302135,0,1,2,0.000223564,4.605170186,100,1
3.804215053,3.800644417,0,1,1,0.001675136,-4.605170186,100,-1
3.804215053,3.800644417,0,1,2,0,-4.605170186,100,-1
3.804437795,3.800644417,0,1,2,0.000111576,4.605170186,100,1
3.804437795,3.802208139,0,1,1,0.000780684,5.298317367,200,1
3.804437795,3.802208139,0,1,1,0,4.605170186,100,1
3.804437795,3.802208139,0,1,2,0,4.605170186,100,1
3.80666249,3.803546529,0,1,2,0.001782135,-4.605170186,100,-1
3.806440243,3.803992261,0,1,2,0.000111278,4.605170186,100,1
3.807994935,3.805328267,0,1,1,0.001445489,-4.605170186,100,-1
3.807994935,3.805328267,0,0,0,0,4.605170186,100,1
3.807994935,3.804437795,0,1,2,-0.000444543,-4.605170186,100,-1
3.808438689,3.807106835,0,1,2,0.001555038,4.605170186,100,1
3.809325607,3.807106835,0,1,2,0.000443853,4.605170186,100,1
