"id","member_id","funded_amnt","term_m","int_rate","installment","emp_length","annual_inc","dti","revol_util"
"54734",80364,25000,36,0.1189,829.1,0,85000,19.48,0.521
"55742",114426,7000,36,0.1071,228.22,0,65000,14.29,0.767
"57245",138150,1200,36,0.1311,40.5,15,54000,5.47,0.404
"57416",139635,10800,36,0.1357,366.86,6,32000,11.63,0.256
"58915",153417,5025,36,0.1008,162.34,3,85000,8.1,0.732
"59006",154254,3000,36,0.1426,102.92,3,80800,14.97,0.395
"61390",182594,4000,36,0.0788,125.13,0,148000,16.98,0.51
"61419",182917,5600,36,0.1496,194.02,1,45000,4,0.768
"62102",191024,3200,36,0.0988,103.08,5,54000,6.51,0.511
"65426",232106,4000,36,0.1114,131.22,0,60000,11.08,0.686
"65640",234569,2650,36,0.1134,87.19,15,90000,17.25,0.511
"66431",243540,2525,36,0.1221,84.12,3,27000,10,0.23
"66749",246329,10625,36,0.1347,360.43,15,34000,22.09,0.71
"66943",247802,2800,60,0.1149,61.57,0,24000,4,0.195
"66964",247990,7500,36,0.1324,253.58,3,138000,9.16,0.182
"67503",252415,10000,36,0.0859,316.11,1,56000,15.49,0.167
"68163",258249,3000,36,0.0714,92.82,9,1e+05,6.5,0.048
"68381",260179,6625,36,0.0863,209.54,0,13200,9.73,0.446
"68817",264119,10000,36,0.1103,327.53,15,46116,13.04,0.534
"68926",264924,2300,36,0.1317,77.69,15,37152,2.26,0.884
"69001",265533,15000,36,0.0894,476.58,0,110000,7.07,0.527
"69124",266619,18000,36,0.1039,584.12,15,36000,3.8,0.598
"69168",266943,5000,36,0.1513,173.65,2,60000,2.74,0.844
"69251",267771,6000,36,0.08,188.02,0,75000,16.08,0.232
"69550",270212,11200,60,0.1533,268.4,2,46000,17.19,0.692
"69828",272798,15000,36,0.0863,474.42,15,50000,2.59,0.276
"69924",274280,10000,36,0.1355,339.6,3,1e+05,7.94,0.577
"69990",275254,15500,36,0.0788,484.85,0,125000,7.05,0.346
"70348",280311,9600,36,0.1229,320.19,4,78000,8.8,0.581
"76597",76583,5000,36,0.0901,159.03,1,250000,10,0.366
"84918",84914,5000,36,0.0743,155.38,15,65000,0.28,0.057
"87023",86999,7500,36,0.1375,255.43,0,22000,14.29,0.515
"88854",70699,5000,36,0.0743,155.38,4,2e+05,0.28,0.137
"90376",89243,5000,36,0.0743,155.38,0,2e+05,3.72,0.007
"90395",90390,5000,36,0.0807,156.84,0,1e+05,2.3,0.194
"90665",90607,8500,36,0.1028,275.38,3,18000,6.4,0.269
"90966",90962,5000,36,0.0743,155.38,8,150000,0,0.195
"92187",92174,2500,36,0.0807,78.42,4,110000,11.33,0.131
"92402",92390,5000,36,0.087,158.3,5,75000,15.55,0.23
"92440",92423,5000,36,0.0743,155.38,7,95000,3.83,0.068
"92507",92502,5000,36,0.0743,155.38,1,85000,0.31,0.006
"92533",92529,5000,36,0.1122,164.23,0,80000,1.21,0.161
"92552",92542,5000,36,0.0996,161.25,4,48000,8.03,0.486
"92666",92661,5000,36,0.0933,159.77,2,180000,11.93,0.392
"92676",92671,5000,36,0.0807,156.84,0,180000,5.55,0.263
"93061",93057,5000,36,0.0743,155.38,8,120000,2.29,0.169
"93277",93254,3000,36,0.087,94.98,0,25000,14.54,0.078
"94838",73673,3000,36,0.1028,97.2,2,2e+05,0,0
"96350",96338,5000,36,0.1122,164.23,1,30000,18.64,0.471
"96844",95222,5300,36,0.0838,167.02,7,74000,14.37,0.144
"98276",98268,5400,36,0.0775,168.6,0,8000,3,0.165
"98339",97572,5100,36,0.0838,160.72,4,32000,14.78,0.239
"98982",98957,5000,36,0.0901,159.03,1,73000,9.96,0.376
"99009",98991,5750,36,0.0743,178.69,15,125000,0.27,0.102
"100214",100208,5000,36,0.0743,155.38,0,45000,1.12,0
"101579",100083,10000,36,0.1028,323.98,0,27376,10.7,0.544
"102376",95212,25000,36,0.1059,813.65,2,48000,4.05,0.233
"106079",106039,3500,36,0.0996,112.87,0,13500,16.44,0.411
"106360",106333,2700,36,0.1596,94.88,1,52200,12.57,0.923
"107136",107130,12250,36,0.1059,398.69,3,60000,17.12,0.081
"109355",109346,1200,36,0.1154,39.6,0,20000,2.04,0.758
"111227",111223,20000,36,0.1343,678.08,6,145000,10.15,0.741
"111307",105982,12000,36,0.1249,401.37,9,75000,15,0.934
"111917",111912,6400,36,0.0964,205.45,1,60000,7.72,0.693
"112216",106279,12000,36,0.1186,397.75,1,65000,7.14,0.719
"112245",112227,5000,36,0.0743,155.38,6,40000,2.55,0.14
"112323",107671,3500,36,0.1028,113.39,0,20000,1.5,0.324
"112496",112493,3000,36,0.1186,99.44,2,36153,7.47,0.709
"113156",113146,3500,36,0.0807,109.79,5,98000,8.52,0.06
"113179",113093,1000,36,0.1059,32.55,2,33990,14.47,0.369
"113194",113115,3500,36,0.0996,112.87,1,78000,11.06,0.205
"116040",116037,5000,36,0.0964,160.51,3,130000,8.55,0.402
"116582",116502,10000,36,0.1375,340.57,0,35000,17.38,0.659
"117056",117046,5000,36,0.0775,156.11,1,225000,6.48,0.023
"117249",116607,5000,36,0.0743,155.38,0,70000,4.56,0.01
"117794",94256,7500,36,0.0807,235.25,1,150000,2.72,0.244
"117863",117849,8000,36,0.0996,257.99,3,48000,15.13,0.478
"118523",118519,6500,36,0.1501,225.37,9,213000,6.45,0.753
