OBS,G_CPI,G_CPI
01/31/80,0.170435402,0.114634704
02/29/80,0.152868309,0.126041979
03/31/80,0.165936019,0.124032896
04/30/80,0.11925564,0.130825275
05/31/80,0.118082134,0.118070313
06/30/80,0.116931498,0.116960366
07/31/80,0.014536646,0.115020708
08/31/80,0.086852008,0.079932425
09/30/80,0.100539188,0.09557331
10/31/80,0.113879858,0.096293956
11/30/80,0.126836178,0.099910012
12/31/80,0.111628712,0.104559614
01/31/81,0.110599861,0.100989301
02/28/81,0.109589803,0.101035131
03/31/81,0.081540518,0.100661369
04/30/81,0.067529722,0.09131966
05/31/81,0.080537215,0.084673139
06/30/81,0.10654898,0.085780047
07/31/81,0.131869459,0.092356764
08/31/81,0.091453899,0.10106165
09/30/81,0.116568645,0.090234501
10/31/81,0.038605931,0.098255827
11/30/81,0.051282129,0.0733008
12/31/81,0.038318287,0.073266419
01/31/82,0.038196319,0.064854872
02/28/82,0.038075124,0.060791889
03/31/82,0,0.057086837
04/30/82,0.037954697,0.041461142
05/31/82,0.113149083,0.048756332
06/30/82,0.136859959,0.071063285
07/31/82,0.061696794,0.082708282
08/31/82,0.024590173,0.064092662
09/30/82,0,0.052203216
10/31/82,0.04902969,0.040443651
11/30/82,-0.012238655,0.051280027
12/31/82,-0.036791035,0.02957199
01/31/83,0.024539886,0.016915809
02/28/83,0.01225115,0.030403619
03/31/83,0.012238655,0.024558034
04/30/83,0.085322858,0.023338435
05/31/83,0.048484914,0.046078782
06/30/83,0.024169192,0.037853149
07/31/83,0.048192836,0.031930698
08/31/83,0.036018036,0.039156994
09/30/83,0.035910251,0.035839527
10/31/83,0.047713781,0.036021335
11/30/83,0.035661245,0.039825891
12/31/83,0.035555582,0.03661332
01/31/84,0.082555608,0.03660278
02/29/84,0.058622491,0.051869586
03/31/84,0.035036521,0.047042145
04/30/84,0.046556799,0.041054094
05/31/84,0.023210839,0.044226706
06/30/84,0.02316603,0.036413961
07/31/84,0.046198325,0.034937159
08/31/84,0.034532398,0.040848413
09/30/84,0.034433309,0.037208501
10/31/84,0.04575792,0.036961373
11/30/84,0.022813695,0.040258629
12/31/84,0.022770405,0.033127773
01/31/85,0.02272728,0.03210364
02/28/85,0.06792471,0.030801332
03/31/85,0.056311694,0.044646172
04/30/85,0.022450895,0.043035009
05/31/85,0.02240897,0.033765003
06/30/85,0.033535187,0.032734848
07/31/85,0.022304839,0.03495256
08/31/85,0.022263457,0.030844804
09/30/85,0.022222229,0.029914204
10/31/85,0.04432138,0.028904027
11/30/85,0.055172511,0.03536329
12/31/85,0.054920004,0.039761598
01/31/86,0.043755746,0.041518139
02/28/86,-0.02185793,0.03953385
03/31/86,-0.065813693,0.018551124
04/30/86,-0.044077185,-0.000105529
05/31/86,0.033073057,-0.000649917
06/30/86,0.043956093,0.019079369
07/31/86,0.010963911,0.023621215
08/31/86,0.010953903,0.015660553
09/30/86,0.043715895,0.015924191
10/31/86,0.021798371,0.026341014
11/30/86,0.021758845,0.021100334
12/31/86,0.043399686,0.021842031
01/31/87,0.064806638,0.029159167
02/28/87,0.043010799,0.037896006
03/31/87,0.042857188,0.033990225
04/30/87,0.053357135,0.035558729
05/31/87,0.031900772,0.039947288
06/30/87,0.052980219,0.034413518
07/31/87,0.031676217,0.041370037
08/31/87,0.052608589,0.035399425
09/30/87,0.04192144,0.042137541
10/31/87,0.031345251,0.03949559
11/30/87,0.041666709,0.036433698
12/31/87,0.020779226,0.03923579
01/31/88,0.041450818,0.032383569
02/29/88,0.02067184,0.037990144
03/31/88,0.030941143,0.031149099
04/30/88,0.07188725,0.033521205
05/31/88,0.030677477,0.046456548
06/30/88,0.050955491,0.035438905
07/31/88,0.050740033,0.042174836
08/31/88,0.05052639,0.042731488
09/30/88,0.050314539,0.04361353
10/31/88,0.040100288,0.044289846
11/30/88,0.039966731,0.041537418
12/31/88,0.039834061,0.041305035
01/31/89,0.049607346,0.04090838
02/28/89,0.039538751,0.0438366
03/31/89,0.059064926,0.040939398
04/30/89,0.088055837,0.047215634
05/31/89,0.058346954,0.057780499
06/30/89,0.038740954,0.051204094
07/31/89,0.038616284,0.04590378
08/31/89,0,0.044912196
09/30/89,0.02888088,0.031069783
10/31/89,0.057554067,0.037018734
11/30/89,0.047751754,0.044742772
12/31/89,0.03806506,0.042612937
01/31/90,0.113476023,0.040143849
02/28/90,0.046966792,0.064723885
03/31/90,0.056118575,0.04759856
04/30/90,0.027961178,0.051466711
05/31/90,0.018604655,0.042206753
06/30/90,0.07413151,0.037485835
07/31/90,0.055299637,0.053228648
08/31/90,0.100725506,0.0485592
09/30/90,0.081787518,0.064550466
10/31/90,0.081233857,0.06186036
11/30/90,0.026956208,0.064231078
12/31/90,0.044792885,0.048037268
01/31/91,0.044626307,0.051640404
02/28/91,0.008905381,0.049906516
03/31/91,0,0.037115994
04/30/91,0.026676558,0.030829523
05/31/91,0.044329566,0.035540288
06/30/91,0.035346123,0.039646528
07/31/91,0.017634096,0.03694934
08/31/91,0.035190641,0.030993843
09/30/91,0.035087744,0.035276435
10/31/91,0.017505474,0.034876703
11/30/91,0.052363719,0.029111387
12/31/91,0.034782633,0.039384862
01/31/92,0.008679928,0.034645775
02/29/92,0.026002177,0.026383569
03/31/92,0.043212146,0.030209671
04/30/92,0.025852793,0.035044489
05/31/92,0.025797215,0.03015277
06/30/92,0.034310245,0.02992218
07/31/92,0.034212425,0.032205855
08/31/92,0.025595459,0.032347162
09/30/92,0.025540982,0.029798637
10/31/92,0.050919454,0.029419117
11/30/92,0.033826661,0.037320061
12/31/92,0.01687764,0.033052724
01/31/93,0.042090538,0.027902484
02/28/93,0.02518364,0.035064808
03/31/93,0.016759779,0.029981212
04/30/93,0.041797325,0.026936066
05/31/93,0.033333355,0.034034099
06/30/93,0.008318891,0.031870218
07/31/93,0.016620501,0.024036231
08/31/93,0.024887669,0.025204982
09/30/93,0.01656315,0.026742336
10/31/93,0.04955272,0.023754679
11/30/93,0.032921831,0.033983461
12/31/93,0.024632236,0.030064138
01/31/94,0,0.028117996
02/28/94,0.032764525,0.019737245
03/31/94,0.03267531,0.028502283
04/30/94,0.008154944,0.028574365
05/31/94,0.024431634,0.021204458
06/30/94,0.032498327,0.025426977
07/31/94,0.040499532,0.027801921
08/31/94,0.048419703,0.031087862
09/30/94,0.024136783,0.034912526
10/31/94,0.008034818,0.028611962
11/30/94,0.032085581,0.023202952
12/31/94,0.024008011,0.029485029
01/31/95,0.031936147,0.026836749
02/28/95,0.031851379,0.029364644
03/31/95,0.023833176,0.029623591
04/30/95,0.047524815,0.027376862
05/31/95,0.023692012,0.034952539
06/30/95,0.023645328,0.028385651
07/31/95,0.015737707,0.02826009
08/31/95,0.023567929,0.025086962
09/30/95,0.015686277,0.026686401
10/31/95,0.031311172,0.023652893
11/30/95,0.015625002,0.028048426
12/31/95,0.015604684,0.023160305
01/31/96,0.062216601,0.022610001
02/29/96,0.023248312,0.037202838
03/31/96,0.038647376,0.02694096
04/30/96,0.046213151,0.032357011
05/31/96,0.023040007,0.035416055
06/30/96,0.022995855,0.029122176
07/31/96,0.022951872,0.028754441
08/31/96,0.015276896,0.0280095
09/30/96,0.038107368,0.024897734
10/31/96,0.037986736,0.031400199
11/30/96,0.037866866,0.031929303
12/31/96,0.030207694,0.032787236
01/31/97,0.022605972,0.030971831
02/28/97,0.022563466,0.028538685
03/31/97,0.007511737,0.027924016
04/30/97,0.007507038,0.022328095
05/31/97,0,0.020766836
06/30/97,0.022492978,0.01670372
07/31/97,0.01497193,0.022285663
08/31/97,0.029887936,0.019671018
09/30/97,0.02981368,0.024375833
10/31/97,0.022311751,0.025025621
11/30/97,0.014851487,0.023401887
12/31/97,0.007418856,0.021116678
01/31/98,0.014823967,0.018166645
02/28/98,0,0.019550958
03/31/98,0,0.014159721
04/30/98,0.014805677,0.012859884
05/31/98,0.029556665,0.016362573
06/30/98,0.014751077,0.021105814
07/31/98,0.029447868,0.017406613
08/31/98,0.014696879,0.022472331
09/30/98,0.007341695,0.018517911
10/31/98,0.029321945,0.016136312
11/30/98,0.014634148,0.022618125
12/31/98,0.021917814,0.018537266
01/31/99,0.021877855,0.020977062
02/28/99,0,0.021195672
03/31/99,0.007283764,0.014335925
04/30/99,0.079830957,0.015514061
05/31/99,0.007231094,0.038499447
06/30/99,0,0.018944625
07/31/99,0.050496017,0.016558728
08/31/99,0.02875975,0.031272251
09/30/99,0.050164301,0.025945958
10/31/99,0.021434957,0.033972249
11/30/99,0.021396737,0.026319641
12/31/99,0.028469764,0.026292542
01/31/00,0.035492484,0.028050371
02/29/00,0.049513775,0.030415696
03/31/00,0.070381433,0.035686615
04/30/00,-0.007019597,0.044192362
05/31/00,0.021046483,0.021732629
06/30/00,0.069889539,0.028591241
07/31/00,0.034792718,0.043167493
08/31/00,0,0.034308412
09/30/00,0.062373805,0.023542566
10/31/00,0.02071943,0.041591022
11/30/00,0.020683717,0.029465015
12/31/00,0.027522948,0.029122021
01/31/01,0.068532454,0.030236287
02/28/01,0.027303766,0.043335804
03/31/01,0.006816246,0.032332602
04/30/01,0.020425537,0.025658993
05/31/01,0.061068834,0.027990948
06/30/01,0.027042265,0.040205684
07/31/01,-0.020275983,0.031062435
08/31/01,0,0.015587598
09/30/01,0.047257445,0.018440246
10/31/01,-0.033736317,0.03138182
11/30/01,-0.00675866,0.006152792
12/31/01,-0.006762468,0.011531713
01/31/02,0.020275983,0.008883676
02/28/02,0.020241782,0.016187347
03/31/02,0.033660611,0.016625288
04/30/02,0.053661353,0.021919517
05/31/02,0.013377928,0.03012489
06/30/02,0.006683375,0.01982976
07/31/02,0.02669634,0.017708936
08/31/02,0.033287123,0.023156493
09/30/02,0.019928042,0.025680941
10/31/02,0.026519348,0.022395729
11/30/02,0.019851121,0.024679643
12/31/02,0.019818336,0.022778928
01/31/03,0.052689437,0.022701418
02/28/03,0.06553812,0.033343659
03/31/03,0.019591841,0.039687332
04/30/03,-0.045764152,0.027800018
05/31/03,-0.019666762,0.006026914
06/30/03,0.013114755,0.009090575
07/31/03,0.039258486,0.015909405
08/31/03,0.052145655,0.023990218
09/30/03,0.038961073,0.030128397
10/31/03,-0.012972974,0.028689314
11/30/03,0.00648824,0.013312522
12/31/03,0.032388684,0.017367217
01/31/04,0.051640747,0.024332759
02/29/04,0.025737275,0.031567246
03/31/04,0.025682193,0.025534904
04/30/04,0.019225638,0.026159412
05/31/04,0.051118288,0.024072247
06/30/04,0.044550568,0.034216472
07/31/04,0.012698414,0.033813738
08/31/04,0.006344171,0.024938289
09/30/04,0.037994755,0.021851905
10/31/04,0.063058474,0.030447519
11/30/04,0.056470692,0.039269926
12/31/04,0,0.039874911
01/31/05,-0.006261414,0.023554276
02/28/05,0.050000072,0.019385625
03/31/05,0.043579814,0.034713126
04/30/05,0.037228572,0.033728249
05/31/05,-0.006196747,0.03317003
06/30/05,0.006196747,0.0195095
07/31/05,0.074112433,0.021061382
08/31/05,0.07365752,0.041383337
09/30/05,0.164094732,0.044456107
10/31/05,0.018095002,0.078155012
11/30/05,-0.060423088,0.039418734
12/31/05,0,0.013063785
01/31/06,0.066448697,0.024387842
02/28/06,0.012042149,0.042019134
03/31/06,0.018040595,0.026255274
04/30/06,0.053959621,0.02742126
05/31/06,0.047761257,0.037905827
06/30/06,0.02975454,0.037393553
07/31/06,0.059288658,0.032956838
08/31/06,0.047220917,0.042548387
09/30/06,-0.047220917,0.040168783
10/31/06,-0.065233667,0.010121875
11/30/06,0.011887074,-0.001664158
12/31/06,0.065169254,0.015895646
01/31/07,0.016060149,0.031954571
02/28/07,0.052165036,0.01957991
03/31/07,0.061762472,0.032160136
04/30/07,0.037756158,0.037414409
05/31/07,0.051801277,0.032663069
06/30/07,0.020403239,0.038416168
07/31/07,0.025975476,0.029535388
08/31/07,0.00115573,0.030744155
09/30/07,0.047979995,0.021822613
10/31/07,0.032760524,0.035077335
11/30/07,0.095300075,0.030980469
12/31/07,0.039452963,0.052211271
01/31/08,0.044809675,0.038271426
02/29/08,0.026997526,0.0411282
03/31/08,0.047296693,0.035431097
04/30/08,0.031596023,0.041237316
05/31/08,0.066009626,0.036372667
06/30/08,0.110522644,0.047294964
07/31/08,0.100261594,0.063658085
08/31/08,-0.017703443,0.065414174
09/30/08,0.003674379,0.030910386
10/31/08,-0.110945112,0.033284668
11/30/08,-0.218307146,-0.009079077
12/31/08,-0.089605425,-0.055637084
01/31/09,0.035152565,-0.0321442
02/28/09,0.051860093,0.000106892
03/31/09,-0.013197971,0.009203107
04/30/09,0.009420548,-0.006017857
05/31/09,0.013525573,0.002334111
06/30/09,0.084638618,0.004806751
07/31/09,0.012074573,0.029984474
08/31/09,0.044169776,0.012452461
09/30/09,0.019189903,0.02471134
10/31/09,0.024762425,0.01867264
11/30/09,0.02781062,0.021348
12/31/09,0.020180477,0.022928093
01/31/10,0.020036296,0.02125357
02/28/10,0.000220599,0.021432449
03/31/10,0.007608197,0.014940181
04/30/10,-0.008270007,0.016055353
05/31/10,-0.019595085,0.00985722
06/30/10,-0.016307618,0.004385251
07/31/10,0.036895405,0.00292188
08/31/10,0.030458057,0.018357155
09/30/10,0.012205571,0.018197909
10/31/10,0.027828422,0.014352358
11/30/10,0.014629304,0.019876026
12/31/10,0.060410052,0.016601509
